title,company,type,posted_on,cities,start_date,duration_months,stipend,apply_by
Business Development,"Sagar, Kamdar and Bhattacharyya",Remote,01-06-2026,"Pune,Ahmedabad",28-06-2026,3,5000,10-07-2026
Marketing,"Gupta, Master and Parekh",Part Time,27-06-2026,Jaipur,06-07-2026,2,0,12-07-2026
Data Analyst,"Swamy, Bala and Keer",Part Time,04-07-2026,Delhi,Immediately,5,5000,04-08-2026
Marketing,Apte LLC,Full Time,25-06-2026,Bengaluru,12-07-2026,10,0,01-08-2026
Data Analyst,Borah-Raghavan,Part Time,20-01-2026,"Jaipur,Delhi,Hyderabad",30-01-2026,4,10000,15-03-2026
Data Analyst,"Pai, Modi and Vasa",Part Time,20-06-2026,Hyderabad,05-07-2026,11,5000,18-07-2026
Marketing,Grewal-Chandra,Full Time,16-02-2026,Pune,28-02-2026,6,15000,10-03-2026
Content Writing,"Verma, Bhattacharyya and Varty",Part Time,25-01-2026,"Delhi,Lucknow",Immediately,5,10000,14-03-2026
Web Developer,"Arora, Kulkarni and Edwin",Full Time,17-04-2026,"Delhi,Ahmedabad,Chennai",07-05-2026,12,0,23-05-2026
Business Development,Bhardwaj LLC,Remote,04-06-2026,"Delhi,Bengaluru",12-06-2026,11,15000,10-07-2026
Data Analyst,Rege Ltd,Full Time,07-03-2026,"Lucknow,Delhi",17-03-2026,12,15000,29-04-2026
Web Developer,Mander Inc,Full Time,01-04-2026,Ahmedabad,13-04-2026,12,15000,27-05-2026
Content Writing,Bahl-Trivedi,Full Time,05-06-2026,"Ahmedabad,Mumbai,Hyderabad",22-06-2026,1,15000,29-07-2026
Content Writing,Bajaj-Mital,Full Time,02-05-2026,Delhi,Immediately,9,15000,18-06-2026
Business Development,Barad-Upadhyay,Remote,11-02-2026,Chennai,07-03-2026,10,10000,27-03-2026
Data Analyst,Anand PLC,Full Time,06-03-2026,Mumbai,17-03-2026,6,0,01-05-2026
Data Analyst,"Mani, Rau and Shankar",Part Time,20-06-2026,"Bengaluru,Kolkata",05-07-2026,3,10000,06-07-2026
Business Development,Natarajan LLC,Full Time,09-01-2026,Jaipur,Immediately,11,10000,09-03-2026
Content Writing,Mahajan Ltd,Part Time,29-06-2026,"Delhi,Chennai,Kolkata,Hyderabad",Immediately,3,5000,19-08-2026
Content Writing,Karpe-Divan,Part Time,12-04-2026,"Mumbai,Jaipur",Immediately,12,5000,03-06-2026
Marketing,Mahajan-Ahuja,Full Time,22-08-2026,"Mumbai,Lucknow,Kolkata,Hyderabad",Immediately,11,0,14-10-2026
Web Developer,Biswas PLC,Remote,21-06-2026,"Delhi,Bengaluru,Chennai",Immediately,1,0,27-07-2026
AI/ML Intern,"Hayre, Singh and Lata",Remote,13-01-2026,"Hyderabad,Chennai,Mumbai,Pune",24-01-2026,2,0,10-03-2026
Content Writing,"Arya, Bahri and Kothari",Remote,18-04-2026,"Bengaluru,Mumbai,Kolkata,Pune",14-05-2026,9,10000,09-05-2026
Business Development,Dube Ltd,Full Time,12-02-2026,Delhi,Immediately,2,5000,11-03-2026
Business Development,"Chhabra, Dhaliwal and Magar",Part Time,05-06-2026,"Kolkata,Lucknow,Jaipur,Ahmedabad",Immediately,4,15000,02-08-2026
Marketing,Tailor-Lal,Full Time,05-01-2026,"Delhi,Jaipur",Immediately,1,15000,02-03-2026
Marketing,Kalita-Jain,Remote,13-01-2026,Ahmedabad,Immediately,1,0,17-02-2026
Business Development,Deo-Karpe,Part Time,28-02-2026,"Chennai,Pune",21-03-2026,1,0,04-04-2026
Marketing,Mani-Thaker,Remote,07-04-2026,Delhi,06-05-2026,3,0,29-04-2026
Business Development,Bajaj Ltd,Full Time,30-05-2026,"Bengaluru,Hyderabad,Pune",17-06-2026,6,0,18-07-2026
Marketing,"Konda, Pant and Behl",Full Time,12-04-2026,Pune,24-04-2026,4,10000,25-05-2026
Web Developer,Khosla LLC,Part Time,14-08-2026,"Bengaluru,Hyderabad,Chennai",Immediately,12,0,16-09-2026
Content Writing,Chopra and Sons,Part Time,03-07-2026,"Pune,Ahmedabad,Chennai,Delhi",28-07-2026,3,10000,29-08-2026
Marketing,"Gupta, Madan and Kakar",Part Time,02-08-2026,"Pune,Lucknow,Ahmedabad,Mumbai",27-08-2026,12,10000,09-09-2026
Data Analyst,"Cherian, Patla and Sharma",Part Time,10-06-2026,"Kolkata,Jaipur,Bengaluru,Delhi",Immediately,7,5000,06-07-2026
Marketing,Oak-Soni,Part Time,31-07-2026,Hyderabad,Immediately,1,0,25-09-2026
AI/ML Intern,Varghese PLC,Full Time,09-06-2026,"Kolkata,Ahmedabad",Immediately,4,15000,16-07-2026
AI/ML Intern,Dash PLC,Full Time,26-02-2026,"Hyderabad,Pune,Bengaluru",Immediately,11,5000,19-03-2026
Business Development,Nagy PLC,Part Time,10-07-2026,"Lucknow,Hyderabad,Chennai,Mumbai",Immediately,1,5000,27-07-2026
AI/ML Intern,Dara LLC,Full Time,08-02-2026,"Delhi,Mumbai,Ahmedabad,Lucknow",Immediately,4,10000,21-03-2026
Content Writing,Yogi-Mody,Part Time,23-07-2026,"Delhi,Hyderabad,Ahmedabad",18-08-2026,1,10000,18-08-2026
Content Writing,"Rajan, Shukla and Thakkar",Part Time,26-04-2026,Hyderabad,14-05-2026,2,0,18-06-2026
Business Development,Bobal Ltd,Part Time,19-06-2026,"Mumbai,Hyderabad,Kolkata,Pune",Immediately,10,15000,26-07-2026
Web Developer,"Nagar, Nagy and Manne",Full Time,30-03-2026,"Delhi,Ahmedabad,Mumbai",Immediately,10,10000,04-05-2026
Business Development,Issac Ltd,Remote,14-06-2026,"Bengaluru,Lucknow,Delhi,Kolkata",09-07-2026,5,5000,23-07-2026
Web Developer,Chaudhari-Barad,Remote,06-01-2026,"Ahmedabad,Mumbai",24-01-2026,5,0,29-01-2026
Data Analyst,Tata PLC,Part Time,30-05-2026,"Pune,Hyderabad,Ahmedabad,Bengaluru",18-06-2026,8,10000,15-07-2026
Content Writing,"Choudhary, Misra and Prasad",Full Time,06-06-2026,"Kolkata,Delhi",Immediately,5,15000,11-07-2026
Marketing,Lata Inc,Full Time,26-01-2026,"Kolkata,Bengaluru,Delhi,Hyderabad",17-02-2026,12,5000,21-03-2026
Data Analyst,Pall-Raghavan,Remote,25-01-2026,"Kolkata,Lucknow,Delhi",17-02-2026,11,0,15-02-2026
Marketing,"Subramaniam, Karan and Wable",Part Time,10-02-2026,"Kolkata,Bengaluru,Lucknow",Immediately,5,10000,25-03-2026
Business Development,Dugar and Sons,Part Time,06-02-2026,"Kolkata,Mumbai",20-02-2026,8,5000,24-03-2026
Data Analyst,Kalla-Agate,Remote,06-05-2026,Chennai,Immediately,10,0,02-07-2026
Data Analyst,Bhatt PLC,Full Time,24-04-2026,"Jaipur,Ahmedabad,Kolkata",23-05-2026,7,5000,11-06-2026
AI/ML Intern,Mohan Inc,Remote,02-06-2026,"Pune,Chennai,Hyderabad",Immediately,8,5000,20-06-2026
Data Analyst,Muni-Muni,Remote,11-05-2026,"Lucknow,Delhi,Ahmedabad,Chennai",Immediately,8,5000,30-06-2026
